,MovieID,Country,CountryID
0,tt2015381,UnitedStates,1
1,tt1446714,UnitedKingdom,2
4,tt4972582,Japan,3
7,tt3470600,France,4
10,tt2034800,China,5
11,tt2034800,HongKong,6
12,tt2034800,Australia,7
13,tt2034800,Canada,8
25,tt4680182,Spain,9
27,tt4680182,SouthKorea,10
39,tt4196776,Germany,11
43,tt3741834,India,12
57,tt2094766,Taiwan,13
58,tt2094766,Malta,14
79,tt4276820,Greece,15
101,tt0490215,Mexico,16
103,tt4160708,Hungary,17
107,tt1661275,Sweden,18
159,tt2005151,Romania,19
165,tt4714782,CzechRepublic,20
166,tt4714782,Belgium,21
