,MovieID,Language,LanguageID
0,tt2015381,English,1
2,tt1446714,Gaelic,2
5,tt3470600,Japanese,3
8,tt1386697,Spanish,4
10,tt2034800,Mandarin,5
13,tt3783958,Cantonese,6
15,tt1212428,Portuguese,7
16,tt1212428,Tupi,8
18,tt1212428,German,9
22,tt1355644,French,10
24,tt3183660,CentralKhmer,11
30,tt4680182,Korean,12
35,tt4196776,Greek,13
39,tt3741834,Hindi,14
40,tt3741834,Bengali,15
41,tt2543164,Russian,16
45,tt1800302,Indonesian,17
53,tt2094766,Arabic,18
58,tt3385516,Polish,19
61,tt3385516,Egyptian(Ancient),20
66,tt3498820,Xhosa,21
68,tt3498820,Romanian,22
72,tt2404435,NorthAmericanIndian,23
77,tt4276820,Yiddish,24
85,tt3717252,Saami,25
90,tt2911666,Hungarian,26
95,tt0490215,Latin,27
112,tt2802144,Swedish,28
114,tt4572514,Chinese,29
121,tt4776998,Armenian,30
124,tt4776998,Turkish,31
138,tt0361748,Italian,32
149,tt3553976,Esperanto,33
163,tt3460252,Persian,34
172,tt2005151,Albanian,35
